Name,Ticker,Sub-Industry,Industry,sales_2022,sales_2023,sales_2024,expenses_2022,expenses_2023,expenses_2024,other_income_2022,other_income_2023,other_income_2024,interest_2022,interest_2023,interest_2024,depreciation_2022,depreciation_2023,depreciation_2024,tax%_2022,tax%_2023,tax%_2024,div_payout%_2022,div_payout%_2023,div_payout%_2024,equity_capital_2022,equity_capital_2023,equity_capital_2024,reserves_2022,reserves_2023,reserves_2024,borrowings_2022,borrowings_2023,borrowings_2024,CL_2022,CL_2023,CL_2024,fixed_assets_2022,fixed_assets_2023,fixed_assets_2024,cwip_2022,cwip_2023,cwip_2024,investments_2022,investments_2023,investments_2024,other_assets_2022,other_assets_2023,other_assets_2024,cfo_2022,cfo_2023,cfo_2024,cfi_2022,cfi_2023,cfi_2024,cff_2022,cff_2023,cff_2024,MCap,Price,P/E,PromoterHold,About,MCap_category,EBIT_2024,EBIT_2023,EBIT_2022,operating_margin_24,operating_margin_23,operating_margin_22,avg_operating_margin,shares_outstanding,P/R,cash,CA_2024,CA_2023,CA_2022,Change_WC_24-23,Change_WC_23-22,Reinv_rate_24,Reinv_rate_23,Equity_2024,Equity_2023,Equity_2022,invested_capital_2024,invested_capital_2023,invested_capital_2022,ROC_2024,ROC_2023,ROC_2022,sales_to_capital_24-23,sales_to_capital_23-22,debt%_2024,debt%_2023,debt%_2022,Kd,Beta,Ke,WACC,asset_turnover,capex/revenue
Kohinoor Foods Limited (BSE:512559),BSE:512559,Food Processing,Consumer Staples,98.5,82.46,94.79,100.53,71.07,80.07,4.92,8.45,0.55,0.68,17.99,17.92,7.73,6.71,6.31,14.49%,-15.02%,-49.22%,0.00%,0.00%,0.00%,37.07,37.07,37.07,-550.45,-554.53,-559.24,710.28,707.3,700.78,18.45,23.28,47.32,165.13,159.09,158.12,0,0.08,0.11,0.11,0,0,50.11,53.95,67.7,79.07,21.5,28.18,4.61,-0.12,-4.82,-83.78,-21.02,-24.71,132,35.8,,37.67,"Business Overview: [1] Company is in the business of Basmati Rice, Wheat Flour, Ready to Eat Curries & Meals, Simmer Sauces, Cooking Pastes to Spices, Seasonings, Frozen Food, Pure Ghee, Indian Cottage Cheese, Ready Mixes, Namkeens & Sweets",Micro,32.64,29.38,-1.35,0.34434012,0.356293961,-0.013705584,0.228976166,3.687150838,1.392551957,57.25333333,67.81,54.03,50.22,-10.26,-1.02,-0.462009804,-0.038801906,-522.17,-517.46,-513.38,178.61,189.84,196.9,0.182744527,0.154761905,-0.006856272,-1.097951915,2.271954674,3.92352052,3.725769069,3.607313357,1.732120894,1.6,17.1,-43.19618901,0.419554729,0.050849246
KRBL Limited (NSEI:KRBL),NSEI:KRBL,Food Processing,Consumer Staples,4211,5365,5385,3549,4425,4582,43,92,97,13,15,24,74,76,79,26%,26%,25%,18%,3%,15%,24,24,23,4047,4669,4835,145,250,545,533,648,525,924,899,903,2,16,13,21,31,115,3801,4645,4896,561,-360,226,-206,206,-87,-322,5,-157,6056,265,13.9,60.17,"Market Leadership The company is Indiaâs largest exporter of branded basmati rice. Its India Gate brand is recognized as the worldâs no. 1 basmati rice brand. It also has the largest rice milling plant in Punjab. It possesses the largest contact farming network coverage for rice [1] As of Q1 FY25, the company has a market share of 37% in the general trade and 45% in the modern trade of basmati packaged rice in India as per Nielsen. [2]",Mid,827,955,675,0.153574745,0.178005592,0.160294467,0.163958268,22.85283019,1.124605385,4447.333333,5024,4692,3824,455,753,0.444981862,1.004188482,4858,4693,4071,5403,4943,4216,0.153063113,0.193202509,0.160104364,0.043478261,1.587345254,0.100869887,0.050576573,0.034392789,6.456395655,1.2,14.7,13.86846856,0.908554075,0.016155989
LT Foods Limited (NSEI:LTFOODS),NSEI:LTFOODS,Food Processing,Consumer Staples,5427,6936,7772,4835,6235,6835,23,71,99,69,82,83,123,127,153,27%,25%,25%,11%,9%,3%,32,35,35,1966,2722,3337,1320,1221,917,1042,1341,1753,905,995,1160,35,27,41,25,127,183,3394,4170,4657,517,258,757,-145,-395,-201,-358,136,-538,12400,357,21,51,"Brands The company owns several rice brands such as Daawat, Royal, Heritage, Devaaya, Gold Seal Indus Valley, 817 Elephant, Leev, Golden Star and Kari Kari and Ecolife. [1] . Its flagship Brands âDaawatâ and âRoyalâ enjoy leadership positions in the market of Basmati Rice in India and North America with market share of 30% and 50% respectively. [2] {https://economictimes.indiatimes.com/industry/cons-products/food/lt-foods-acquires-51-stake-in-golden-star-trading/articleshow/89971510.cms?from=mdr} {https://www.livemint.com/companies/news/lt-foods-picks-30-stake-in-netherlands-based-leev-through-subsidiary-11611135253274.html}",Mid,1020,783,661,0.13124035,0.112889273,0.121798415,0.121976013,34.73389356,1.595470921,4073.666667,4881,4324,3454,145,571,-0.054901961,0.224776501,3372,2757,1998,4289,3978,3318,0.237817673,0.196832579,0.199216395,2.688102894,2.286363636,0.213802751,0.30693816,0.397830018,6.998111178,1.2,14.7,13.05331498,1.286541963,0.025862069
Mawana Sugars Limited (BSE:523371),BSE:523371,Food Processing,Consumer Staples,1478,1482,1355,1373,1405,1265,-2,2,28,26,28,30,40,36,35,31%,14%,29%,45%,89%,42%,39,39,39,345,345,371,417,383,568,250,266,200,212,197,204,3,16,1,4,3,3,832,817,972,-151,108,-164,-13,-39,5,107,-76,143,357,91.2,8.94,63.49,"Business Overview: [1] [2] MSL is an ISO 22000:2005 certified manufacturer and marketer of Sugar, Ethanol and Co- generation of Power",Micro,120,105,131,0.088560886,0.070850202,0.088633288,0.082681459,3.914473684,0.263468635,873.6666667,976,836,839,206,-19,1.758333333,-0.552380952,410,384,384,978,767,801,0.122699387,0.136897001,0.163545568,-0.601895735,-0.117647059,0.580777096,0.49934811,0.520599251,6.275802364,1.6,17.1,10.81355393,1.148305085,-0.003690037
Shree Renuka Sugars Limited (NSEI:RENUKA),NSEI:RENUKA,Food Processing,Consumer Staples,6431,9017,11311,6030,8427,10634,61,59,46,393,591,918,208,238,266,-1%,10%,36%,0%,0%,0%,213,213,213,-821,-1094,-1651,5234,5569,5794,2477,2917,5807,4004,4296,4561,217,114,50,43,42,34,2839,3151,5517,-134,926,913,-337,-450,-373,454,-332,-669,7618,35.8,,62.48,Business Divisions,Mid,1595,1181,794,0.141013173,0.130974825,0.123464469,0.131817489,212.7932961,0.673503669,3835.666667,5601,3307,3099,-596,-232,-0.607523511,-0.577476715,-1438,-881,-608,4356,4688,4626,0.366161616,0.251919795,0.171638565,-6.909638554,41.70967742,1.330119376,1.187926621,1.131431042,11.32163078,1.2,14.7,10.20636565,1.113068294,0.032976748
Simran Farms Limited (BSE:519566),BSE:519566,Food Processing,Consumer Staples,394,367,486,382,360,484,3,1,2,2,2,2,2,2,2,-3%,-3%,37%,0%,0%,0%,4,4,4,24,27,27,28,30,35,47,56,73,21,23,23,0,0,0,0,0,0,81,93,116,-2,-7,8,0,-4,-1,0,0,-1,77.7,205,13.5,37.32,"Business Overview: [1] [2] [3] Company does integration and consolidation of poultry products and caters to poultry and  its allied sectors. It is mainly focused on integration/contract farming with poultry farmers and consolidation of poultry activities and has also arranged its own manufacturing set-up for production of poultry feeds. Company's parent poultry breeding farms are located near Indore in Madhya Pradesh and hatcheries and contract rearing farms are located in Madhya Pradesh, Chhattisgarh, Punjab, Gujarat, Rajasthan, Jammu & Maharashtra. At present, major part of companyâs revenue is generated from selling broilers. Company supplies its products to wholesalers & retailers located in various states",Micro,4,9,14,0.008230453,0.024523161,0.035532995,0.022762203,0.37902439,0.159876543,96.66666667,116,93,81,6,3,1.25,-0.111111111,31,31,28,66,61,56,0.060606061,0.147540984,0.25,23.8,-5.4,0.53030303,0.491803279,0.5,6.507936508,1.6,17.1,11.48299663,3.496402878,0.002057613
Vadilal Industries Limited (BSE:519156),BSE:519156,Food Processing,Consumer Staples,698,1058,1125,599,892,904,8,10,12,19,16,18,24,30,35,30%,26%,19%,2%,1%,1%,7,7,7,290,390,535,186,291,223,140,150,151,307,403,444,3,20,12,1,5,16,313,410,445,32,39,192,-20,-62,-66,8,9,-114,2566,3569,16.7,64.72,"Brand Position The company is the 2nd largest ice cream brand in India. It is the largest player in the Cones, Cups, and Candy categories. [1] It has a 16% market share in the organized Indian ice cream market. [2]",Small,239,182,118,0.212444444,0.172022684,0.169054441,0.18450719,0.718968899,2.280888889,389.3333333,473,435,317,37,108,-0.121338912,0.252747253,542,397,297,765,688,483,0.312418301,0.264534884,0.244306418,0.87012987,1.756097561,0.291503268,0.422965116,0.385093168,7.928361476,1.4,15.9,13.57624132,1.226826609,0.058666667
Golden Tobacco Limited (BSE:500151),BSE:500151,Tobacco,Consumer Staples,76.08,23.42,41.79,41.36,37.29,30.36,9.8,23.52,0.95,15.99,10.85,4.28,0.62,1.01,0.47,2.29%,-28.05%,0.00%,0.00%,0.00%,0.00%,17.59,17.59,17.59,-225.54,-231.61,-221.52,0,2,2,401.6,386.37,350.54,15.15,8.38,7.93,0.32,0,0,11.38,2.26,1.19,166.8,163.71,139.49,24.54,20.75,-0.15,1.07,5.86,0.39,-26.95,-26.05,0,63.6,36.1,12,30.04,"Product Portfolio: [1] a) Cigarettes: [2] Panama Mini Kings Special, Panama Filter, Panama Deluxe Filter, Taj Chhap, Golden's Gold Flake, etc. b) Slim / Super Slim Cigarettes: [3] June Slim, June Super Slim, Lips c) Cigars: [4] Just Black, Lips (In Barrel n Caps), June Slim Cigars d) Cigarillos: [5] Just Black 108mm Manufacturing Capacity: [6] Company has it's own raw tobacco procurement division, based at Guntur which is capable of handling 10 million kgs of raw tobacco per season and a tobacco processing / blending division at Vadodara, with a capacity of 50 tons/day",Micro,15.71,-3.02,50.71,0.375927255,-0.128949616,0.666535226,0.304504289,1.761772853,1.52189519,156.6666667,140.68,165.97,178.5,10.54,2.7,0.695735201,-2.834437086,-203.93,-214.02,-207.95,-201.93,-212.02,-207.95,-0.077799237,0.014243939,-0.243856696,1.82061447,12.93857494,-0.009904422,-0.009433072,0,inf,1.6,17.1,#NAME?,0.281205841,-0.009332376
Dabur India Limited (NSEI:DABUR),NSEI:DABUR,Transportation,Consumer Staples,10889,11530,12404,8637,9367,10004,308,445,482,39,78,124,253,311,399,23%,23%,23%,53%,54%,53%,177,177,177,8205,8796,9689,1030,1174,1365,2872,3505,3885,2308,3579,3815,168,175,232,6220,6265,6933,3589,3633,4136,1802,1488,2013,-1273,-583,-971,-490,-1035,-1161,92914,524,52.8,66.27,Leading FMCG Company Dabur India Limited is the fourth largest FMCG Company in India and the worldâs largest Ayurvedic and Natural Health Care Company with a portfolio of over 250 Herbal/Ayurvedic products. [1],Large,2524,2241,2291,0.203482748,0.194362533,0.210395812,0.202747031,177.3167939,7.490648178,3786,11301,10073,9977,848,-537,-0.048732171,-0.499776885,9866,8973,8382,11231,10147,9412,0.224735108,0.220853454,0.243412665,0.806273063,0.872108844,0.121538599,0.115699221,0.109434764,6.504869717,1,13.5,12.64982167,0.820587457,0.0782812
Godrej Consumer Products Limited (NSEI:GODREJCP),NSEI:GODREJCP,Transportation,Consumer Staples,12276,13316,14096,9867,10873,11139,78,114,-2209,122,188,310,210,236,241,17%,20%,383%,0%,0%,-274%,102,102,102,11454,13692,12496,1704,1130,3222,2822,2513,2571,9219,9934,10440,116,45,83,1015,3029,3504,5731,4429,4365,1451,2151,2070,-844,-1754,-3435,-380,-794,1406,115104,1125,66.8,53.04,Product Portfolio The company has more than 10 brands that produce various products in various geographies. Its brands include: GoodKnight- Mosquito Repellent Brand Darling - Hair Extensions Business No. 1 - Soap Brand HIT - Pests killing products Cinthol - Premium personal care products Expert - Hair Color Brand Mitu - Babycare products Stella - Air freshener products MR magic - Liquid hand wash Aer -Air freshener products These top 10 brands contribute ~70% of revenue. [1],Large,3267,2631,2531,0.231767877,0.197581856,0.20617465,0.211841461,102.3146667,8.165720772,4841.666667,7952,7503,6862,391,950,-0.931741659,-0.305587229,12598,13794,11556,15820,14924,13260,0.206510746,0.176293219,0.190874811,0.870535714,0.625,0.203666245,0.075716966,0.128506787,11.13938192,1,13.5,13.01922178,0.766420183,0.243686152
Lykis Limited (BSE:530689),BSE:530689,Transportation,Consumer Staples,329,454,404,329,429,395,6,3,3,3,7,8,1,2,1,-7%,19%,-5%,0%,0%,0%,20,20,20,-8,8,12,113,144,89,11,13,21,4,5,5,0,0,0,1,1,1,130,179,136,-64,-23,66,10,0,-1,58,21,-63,82.4,42.5,34.5,67.17,Business Overview: [1] [2] Company offers manufacturing support for private labelling in domestic and 40+ countries,Micro,17,32,3,0.042079208,0.070484581,0.009118541,0.040560777,1.938823529,0.203960396,148.3333333,137,180,131,-51,47,-3.058823529,1.46875,32,28,12,121,172,125,0.140495868,0.186046512,0.024,0.980392157,2.659574468,0.73553719,0.837209302,0.904,5.501580804,1.6,17.1,8.568931335,2.845070423,0.002475248
Coal India Limited (NSEI:COALINDIA),NSEI:COALINDIA,Coal & Related Energy,Energy,109715,138252,142324,84995,94020,94352,3866,6560,8396,541,684,819,"4,429","6,833","6,735",26%,27%,23%,60%,47%,42%,6163,6163,6163,36980,54680,76567,3514,4331,6523,132780,156222,147217,46677,64547,75668,12897,17622,18960,8921,7139,7110,110942,132087,134731,41107,35734,18103,-25715,-23465,-4486,-13441,-13704,-13899,228606,371,6.7,63.13,"A Maharatna company Coal India was incorporated in 1973 as Coal Mines Authority Ltd after the nationalization of the coal sector. [1] It is a 'Maharatna' company under the Ministry of Coal, Government of India with headquarters at Kolkata, West Bengal. [2]",Large,48791,44916,25261,0.342816391,0.324884993,0.230241991,0.299314458,616.1886792,1.606236475,125920,160801,156848,132760,12958,646,0.173638581,-0.508037225,82730,60843,43143,89253,65174,46657,0.546659496,0.689170528,0.541419294,0.169110013,1.541124372,0.073084378,0.06645288,0.075315601,14.58141753,1,13.5,13.57903473,0.601871704,0.031519631
Oil and Natural Gas Corporation Limited (NSEI:ONGC),NSEI:ONGC,Oil/Gas (Integrated),Energy,491246,632291,591396,411373,556764,488561,6797,-30,12982,5696,7889,10194,"26,883","24,557","28,763",9%,24%,26%,29%,40%,31%,6290,6290,6290,253213,274357,330780,121986,142255,153181,201771,190212,219523,254402,250819,298454,106719,113945,116022,66642,78873,102207,155496,169478,193091,78248,86062,99263,-41197,-74690,-57203,-35790,-12876,-45650,313186,249,7.48,58.89,"History [1] ONGC was established in 1956 by the Government of India for oil exploration. With 60+ years of oil exploration, ONGC has discovered 8 out of 9 producing basins of India: 1958 at Gujarat, 1963 at Assam, 1967 at Rajasthan, 1974 at Mumbai, 1980 at Krishna Godavari, 1985 at Cauvery, 2019 at Bengal & 2022 at Vindhyan.",Large,113029,83416,85569,0.191122361,0.131926597,0.174187678,0.165745545,1257.7751,0.529570711,172688.3333,411320,362296,328857,19713,44998,-0.331684789,-0.355950897,337070,280647,259503,490251,422902,381489,0.230553329,0.197246643,0.224302667,-0.607210204,3.405814599,0.312454233,0.336378168,0.319762824,5.623311884,1,13.5,11.03889546,0.833217334,0.096725375
Essar Shipping Limited (BSE:533704),BSE:533704,Oil/Gas Distribution,Energy,328,61,20,265,28,87,319,1764,75,356,132,81,106,41,32,0%,-2%,-1%,0%,0%,0%,207,207,207,-5121,-2949,-3014,3912,2704,2642,2171,1085,1076,112,58,26,0,0,0,40,38,0,1018,951,885,140,514,-46,478,463,111,-627,-969,-71,607,29.3,,73.75,"Business Overview: [1] Company is an integrated logistics services provider engaged in the businesses of sea transportation, logistics services, and oilfields services. It does fleet operating and chartering activities and operates international and coastal voyages.",Small,14,165,419,0.7,2.704918033,1.277439024,1.560785686,20.71672355,30.35,951.3333333,885,989,1058,-95,1017,1.142857143,8.96969697,-2807,-2742,-4914,-165,-38,-1002,-0.084848485,-4.342105263,-0.418163673,0.322834646,-0.276970954,-16.01212121,-71.15789474,-3.904191617,5.6825735,1.4,15.9,179.5026716,0.021953897,-5.55
Alphageo (India) Limited (BSE:526397),BSE:526397,Oilfield Svcs/Equip.,Energy,155,66,99,122,59,86,5,24,5,1,1,0,20,13,14,31%,27%,77%,42%,39%,1343%,6,6,6,265,277,272,0,0,0,38,7,16,65,65,59,1,2,2,26,55,30,218,168,203,79,13,1,-23,-65,11,-6,-6,-5,239,376,13.7,46.03,"Business Overview: [1] AIL provides seismic survey services to the oil exploration & production sector. It is the an Indian geophysical company providing comprehensive services covering land seismic data acquisition, its processing and interpretation",Micro,13,8,34,0.131313131,0.121212121,0.219354839,0.157293364,0.635638298,2.414141414,196.3333333,235,225,245,1,11,0.923076923,-6.75,278,283,271,278,283,271,0.04676259,0.028268551,0.125461255,-6.6,-7.416666667,0,0,0,,1.6,17.1,,0.336734694,-0.111111111
Aryaman Financial Services Limited (BSE:530245),BSE:530245,Brokerage & Investment Banking,Financials,85,56,70,74,46,34,0,0,0,2,3,4,0,0,0,11%,19%,14%,0%,0%,0%,12,12,12,30,44,61,31,41,46,26,36,41,2,2,2,0,0,0,39,58,62,58,73,96,17,11,26,-3,1,-6,0,7,2,558,478,37,62.17,"Services Offerings [1] [2] A) Fund Raising â Equity Capital Markets The company advises corporates and businesses of all sizes which are seeking to mobilize capital from investors in India and overseas through IPOs, FPOs, Rights Issues, and other ways of raising capital. B) M&A Advisory and Open Offer Management: The M&A segment is engaged in turnkey transaction management and advises a diverse range of clients in medium to large transactions. It provides both buy-side and sell-side advisory services as part of our M&A advisory offerings. C) Private Equity Offerings: It advises promoters and companies on the key considerations in a PE fundraising exercise . D) Structured Finance Advisory: The company organizes appropriate financing solutions for client-specific situations and identifies and places the transaction with institutional investors. The portfolio of solutions comprises Promoter Financing and acquisition Financing . E) Corporate Finance Advisory and Certifications: Managing corporate finance activities such as Schemes of Amalgamations, Mergers, ESOP Transactions, Foreign Remittance and Equity Placements, etc. [3]",Small,40,13,13,0.571428571,0.232142857,0.152941176,0.318837535,1.167364017,7.971428571,75.66666667,158,131,97,22,24,0.4,1.923076923,73,56,42,119,97,73,0.336134454,0.134020619,0.178082192,0.636363636,-1.208333333,0.386554622,0.422680412,0.424657534,7.488112749,1.4,15.9,12.6483461,0.4375,0.085714286
B. N. Rathi Securities Limited (BSE:523019),BSE:523019,Brokerage & Investment Banking,Financials,43,47,57,35,34,42,0,0,0,1,2,1,0,0,0,25%,27%,26%,17%,17%,15%,8,8,10,28,35,53,2,0,0,110,112,142,3,3,4,0,0,0,2,4,11,143,149,191,41,-5,5,-23,5,2,6,2,15,195,46.9,15.4,47.04,"Business Overview: [1] Company offers Trading and Investment Opportunities across multiple market and segments like Equity, F&O, IPOs, Currency and Mutual Funds to Investors through their offices across the country. It is registered with Life Insurance Corporation of India Ltd, UTI, Bank of India and Bank of Maharashtra for their secondary market operations",Micro,16,15,9,0.280701754,0.319148936,0.209302326,0.269717672,4.157782516,3.421052632,161,202,153,145,19,6,1.3125,0.733333333,63,43,36,63,43,38,0.253968254,0.348837209,0.236842105,0.5,0.8,0,0,0.052631579,inf,1.6,17.1,,0.276699029,-0.035087719
HB Stockholdings Limited (BSE:532216),BSE:532216,Brokerage & Investment Banking,Financials,18,3,44,2,5,3,0,0,0,0,0,0,0,0,0,3%,-5%,9%,5%,-38%,3%,8,8,8,61,58,95,0,1,1,2,1,6,1,2,2,0,0,0,47,45,82,23,22,25,-12,-3,33,15,-1,-31,0,1,0,70.3,98.5,2.95,53.22,"Business Overview: [1] Company is registered as Non-banking financial company Non-Systemically important Non-Deposit taking Company. It undertakes financial services, investing and sale & purchase of various kinds of securities",Micro,41,-2,16,0.931818182,-0.666666667,0.888888889,0.384680135,0.713705584,1.597727273,23.33333333,107,67,70,35,-2,0.097560976,1.5,103,66,69,104,67,69,0.394230769,-0.029850746,0.231884058,1.108108108,7.5,0.009615385,0.014925373,0,,1.6,17.1,,0.403669725,0.704545455
Inventure Growth & Securities Limited (NSEI:INVENTURE),NSEI:INVENTURE,Brokerage & Investment Banking,Financials,47,39,61,30,24,38,4,0,-2,1,2,2,1,1,1,27%,26%,33%,0%,0%,0%,84,84,84,115,125,138,30,32,30,45,36,75,14,13,10,0,0,0,2,1,3,259,263,314,25,-5,-17,-11,5,20,-29,1,-5,196,1.87,11.9,26.4,"Business Overview: [1] [2] IGSL is in the business of Broking of shares and other securities, Equity/Commodity  Broking, Financing and other related activities. It operates through 224 business locations including branches, franchisees and sub-brokers located across India",Micro,25,17,18,0.409836066,0.435897436,0.382978723,0.409570742,104.8128342,3.213114754,278.6666667,317,264,261,14,12,1.36,1,222,209,199,252,241,229,0.099206349,0.070539419,0.07860262,2,-0.666666667,0.119047619,0.132780083,0.131004367,5.416666667,1.6,17.1,15.70912698,0.186544343,-0.327868852
JPT Securities Limited (BSE:530985),BSE:530985,Brokerage & Investment Banking,Financials,0.55,0.47,0.42,0.55,0.56,1.16,0,0,0,0.01,0.01,0,0.02,0.01,0.01,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.01,3.01,3.01,1.4,1.28,0.52,1.93,0.26,0.57,3,3.05,3.1,0.05,0.03,0.03,0,0,0,0.77,0.74,0.29,8.52,6.83,6.88,-1.62,0.01,-0.08,0,1.65,-0.22,1.63,-1.68,0.3,3.94,13.1,,60.09,Business Overview: [1] [2] [3] Company is a Non Systematically Important non-deposit taking Non-Banking Financial Company. It has one Associate Company viz. JPT Share Services Private Ltd which is a Deposit Based Trading Member of Cash Segment and Equity Derivatives Segment of BSE Limited,Nano,-0.74,-0.08,0.01,-1.761904762,-0.170212766,0.018181818,-0.63797857,0.300763359,9.380952381,7.41,7.17,7.57,9.29,-0.45,-1.77,0.905405405,1.5,3.53,4.29,4.41,4.1,4.55,6.34,-0.180487805,-0.017582418,0.001577287,0.111111111,0.044692737,0.13902439,0.057142857,0.304416404,1.454762854,1.8,18.3,15.95810118,0.058333333,0.523809524
Mefcom Capital Markets Limited (BSE:531176),BSE:531176,Brokerage & Investment Banking,Financials,107,66,233,103,71,224,0,0,0,1,1,1,0,0,0,17%,0%,2%,0%,0%,0%,9,9,9,9,4,13,8,6,1,2,2,2,1,1,0,0,0,0,7,6,5,21,14,20,-2,0,3,-2,1,4,4,-2,-6,82.3,18,11.8,74.43,"Company Overview: [1] Company has managed 250+ IPOs & Rights issues, helping mobilize more than INR 25,000 million in Indian Capital Markets. Company is a widely held public limited company with about 4,000 shareholders including institutional investors such as Unit Trust of India, PNB Mutual Fund, BOI Mutual Fund, Allahabad Bank, Catholic Syrian Bank and more than 250 NRI investors from all over the world.",Micro,10,-4,5,0.042918455,-0.060606061,0.046728972,0.009680455,4.572222222,0.353218884,18.33333333,25,20,28,5,-8,0.9,1.75,22,13,18,23,19,26,0.434782609,-0.210526316,0.192307692,41.75,5.857142857,0.043478261,0.315789474,0.307692308,43.05555556,1.6,17.1,18.22850242,9.32,-0.017167382
Onelife Capital Advisors Limited (BSE:533632),BSE:533632,Brokerage & Investment Banking,Financials,6.39,5.22,37.87,6.46,6.35,31.43,0.09,0.2,2.29,0.08,1.5,1.78,0.26,0.05,0.53,25.00%,0.00%,90.03%,0.00%,0.00%,0.00%,13.36,13.36,13.36,71.14,68.66,37.34,14.94,13.17,26.17,7.52,28.5,88.06,2.22,8.82,11.42,0,0,0,6.32,20.27,27.31,98.42,94.6,126.2,-2.01,18.52,-25.15,-12.01,-12.2,13.39,13.86,-3.27,11.23,20.6,15.4,,52.1,"Services Offered: [1] a) Advisory for fund raising through Indian and global markets b) Acquaint companies on business strategies c) Assist companies in implementing corporate governance strategies, formulating business plans and management structuring d) Helps companies during the seed, growth and expansion phases as well as acquisition financing and structuring the deal e) Brokerage on the buying/selling of options /futures, commodities and NBFC activities",Nano,8.22,0.37,0.01,0.217058358,0.070881226,0.001564945,0.09650151,1.337662338,0.5439662,106.4066667,153.51,114.87,104.74,-20.92,-10.85,-0.916058394,-62.2972973,50.7,82.02,84.5,76.87,95.19,99.44,0.106933784,0.003886963,0.000100563,-1.78220524,0.275294118,0.340444907,0.138354869,0.150241352,6.242226063,1.8,18.3,14.19499227,0.229612563,-0.35357803
RR Financial Consultants Limited (BSE:511626),BSE:511626,Brokerage & Investment Banking,Financials,14.52,18.38,19.86,13.23,16.88,18.22,0.05,0,0.01,0.66,0.68,0.82,0.15,0.18,0.17,11.32%,7.81%,33.33%,0.00%,0.00%,0.00%,11.07,11.07,11.07,34.62,35.14,34.52,10.1,7.99,10.05,4.28,6.19,5.33,24.19,24.28,23.16,0,0,0,1.42,2.17,2.07,34.46,33.94,35.74,-0.48,2.85,-2.29,0.27,-0.92,0.17,0.94,-2.76,1.25,16.4,14.9,,68.41,Registration: [1] Company is registered as a Non-Systemically Important Non-Deposit taking Non-Banking Financial Company,Nano,2.46,2.18,1.95,0.123867069,0.118607182,0.134297521,0.125590591,1.100671141,0.825780463,34.71333333,37.81,36.11,35.88,2.56,-1.68,1.109756098,-1.19266055,45.59,46.21,45.69,55.64,54.2,55.79,0.044212797,0.040221402,0.0349525,1.027777778,-2.427672956,0.180625449,0.147416974,0.181036028,7.734831914,1.8,18.3,16.39166177,0.325733968,-0.008559919
Shardul Securities Limited (BSE:512393),BSE:512393,Brokerage & Investment Banking,Financials,15,13,173,3,10,10,0,0,1,0,0,1,0,0,0,23%,23%,40%,0%,0%,0%,18,18,18,459,428,654,0,0,10,49,25,16,17,16,16,0,0,0,473,427,649,35,28,32,8,-18,20,-22,18,-23,0,0,10,602,68.8,3.02,74.84,"Business Overview: [1] [2] SSL is a flagship company of Shriyam Group. It used to cater to financial requirements of manufacturing and servicing industry by way of lease finance. However, due to change in policies their focus shifted to investment banking activities. SSL is also registered as Non Systematically Important Non Deposit Taking Non Banking Financial Corporation",Small,164,3,12,0.947976879,0.230769231,0.8,0.659582036,8.75,3.479768786,31.66666667,681,455,508,235,-29,1.292682927,-3.666666667,672,446,477,682,446,477,0.240469208,0.006726457,0.025157233,0.677966102,0.064516129,0.014662757,0,0,,1.4,15.9,,0.2482066,0.132947977
Steel City Securities Limited (NSEI:STEELCITY),NSEI:STEELCITY,Brokerage & Investment Banking,Financials,67,59,63,47,43,45,0,0,0,1,1,1,1,1,1,27%,26%,27%,33%,40%,38%,15,15,15,90,96,103,0,1,5,77,71,86,9,26,25,7,4,4,6,6,7,159,147,174,28,16,-19,-3,-10,3,-6,-3,-1,144,95.3,8.7,70.86,"Business Overview: [1] Company is in the business of retail stock broking operations in Tamil Nadu, Karnataka, Orissa, Chattisgarh, and Maharashtra. It provides a trading platform for **Capital Market, Futures & Options, Commodities and Currency Derivatives from NSE, BSE, MCX, MSE, and NCDEX. **",Micro,19,17,21,0.301587302,0.288135593,0.313432836,0.30105191,1.511017838,2.285714286,160,185,157,172,13,-9,0.842105263,-1.117647059,118,111,105,123,112,105,0.154471545,0.151785714,0.2,0.363636364,-1.142857143,0.040650407,0.008928571,0,inf,1.6,17.1,inf,0.3,-0.047619048
