Name,Ticker,Sub-Industry,Industry,sales_2022,sales_2023,sales_2024,expenses_2022,expenses_2023,expenses_2024,other_income_2022,other_income_2023,other_income_2024,interest_2022,interest_2023,interest_2024,depreciation_2022,depreciation_2023,depreciation_2024,tax%_2022,tax%_2023,tax%_2024,div_payout%_2022,div_payout%_2023,div_payout%_2024,equity_capital_2022,equity_capital_2023,equity_capital_2024,reserves_2022,reserves_2023,reserves_2024,borrowings_2022,borrowings_2023,borrowings_2024,other_liabilities_2022,other_liabilities_2023,other_liabilities_2024,fixed_assets_2022,fixed_assets_2023,fixed_assets_2024,cwip_2022,cwip_2023,cwip_2024,investments_2022,investments_2023,investments_2024,other_assets_2022,other_assets_2023,other_assets_2024,cfo_2022,cfo_2023,cfo_2024,cfi_2022,cfi_2023,cfi_2024,cff_2022,cff_2023,cff_2024,MCap,Price,P/E,PromoterHold,About
Shemaroo Entertainment Limited (NSEI:SHEMAROO),NSEI:SHEMAROO,Entertainment,Communication Services,"<td class="""">381</td>","<td class="""">557</td>","<td class="""">707</td>","<td class="""">344</td>","<td class="""">509</td>","<td class="""">707</td>",1,3,5,26,31,36,7,5,6,2%,36%,7%,0%,0%,0%,27,27,27,555,565,526,254,321,340,53,126,128,22,36,44,0,1,0,3,3,3,864,999,975,44,-17,26,-2,-19,-7,-41,36,-19,391,143,,65.56%,"Business Overview: [1] SEL is an ISO 10002: 2018, ISO 27001: 2013, ISO 9001: 2015 certified company which is in the business of media and entertainment. It offers content across various genres, including fiction and non-fiction shows, movies, comedy, devotional, and kids' entertainment. Company operates multiple broadcast channels and has  vast library of 7000+ hours of content in Hindi, Gujarati, Marathi, Punjabi amongst other regional languages, available in over 150 countries"
Cyber Media (India) Limited (NSEI:CYBERMEDIA),NSEI:CYBERMEDIA,Publishing & Newspapers,Communication Services,"<td class="""">71.57</td>","<td class="""">78.43</td>","<td class="""">101.80</td>","<td class="""">67.38</td>","<td class="""">73.18</td>","<td class="""">96.48</td>",0.45,6.2,1.07,2.03,1.31,0.95,0.38,0.39,0.42,32.29%,48.92%,32.27%,0.00%,0.00%,0.00%,15.67,15.67,15.67,-26.73,-21.09,-20.29,19.61,10.4,10.4,24.14,31.32,37.11,3.57,3.43,3.72,0,0,0,0.89,0.89,2.69,28.23,31.98,36.48,5.95,7.14,-0.6,-0.05,5.87,-1.93,-3.01,-10.49,-1.46,35.8,22.8,14.5,61.79%,"Business Overview: [1] Company is the largest speciality media house in South Asia and amongst India’s top five magazine brands. The group’s Media business includes 12 media properties including Dataquest, PCQuest, Voice&Data, Global Services, DQ Channels, DQ Week (Delhi, Chennai, Mumbai, and Kolkata). It also has 12 websites, led by www.CIOL.com, which is a technology business website"
Bharti Airtel Limited (BSE:532454),BSE:532454,Telecom (Wireless),Communication Services,"<td class="""">116,547</td>","<td class="""">139,145</td>","<td class="""">149,982</td>","<td class="""">59,013</td>","<td class="""">67,871</td>","<td class="""">71,691</td>","4,656","1,019","-3,428","16,616","19,300","22,648","33,091","36,432","39,538",33%,26%,32%,39%,27%,62%,"2,795","2,837","2,877","63,759","74,726","79,142","169,678","226,020","215,592","124,975","140,974","144,408","244,083","277,394","303,303","5,955","49,425","16,904","29,349","32,954","31,602","81,820","84,784","90,210","55,017","65,325","78,898","-41,478","-39,232","-51,089","-15,203","-24,470","-27,778","9,68,819","1,619",68.3,53.12%,"Segments & Presence [1] Mobile, Broadband, DTH and Bank. The company has operations in India, Africa, Bangladesh and Sri Lanka."
Indus Towers Limited (NSEI:INDUSTOWER),NSEI:INDUSTOWER,Telecom. Services,Communication Services,"<td class="""">27,717</td>","<td class="""">28,382</td>","<td class="""">28,601</td>","<td class="""">12,816</td>","<td class="""">18,713</td>","<td class="""">14,044</td>",458,85,"1,490","1,603","1,670","1,864","5,325","5,324","6,060",24%,26%,26%,47%,0%,0%,"2,695","2,695","2,695","19,456","18,415","24,344","19,726","19,185","20,531","6,091","6,278","8,298","31,826","32,384","39,300",179,355,422,"1,652",276,3,"14,311","13,559","16,143","9,121","7,905","11,582","-2,174","-1,730","-7,546","-5,982","-7,133","-3,996","95,401",354,9.62,50.00%,"Business Overview Indus Towers is a provider of tower and related infrastructure sharing services. It is one of the largest telecom tower companies in India based on the number of towers and co-locations operated by the Company. It provides access to its towers, primarily to wireless telecommunication service providers, on a shared basis under long-term contracts. [1]"
Bannari Amman Spinning Mills Ltd (NSEI:BASML),NSEI:BASML,Apparel,Consumer Discretionary,"<td class="""">1,560</td>","<td class="""">1,398</td>","<td class="""">924</td>","<td class="""">1,393</td>","<td class="""">1,346</td>","<td class="""">894</td>",6,6,27,53,58,49,34,35,30,34%,-32%,-35%,7%,0%,0%,32,32,32,420,388,367,520,621,507,263,243,322,599,638,482,30,6,10,2,7,4,604,633,732,56,1,125,-34,-48,-9,-21,38,-113,281,40.7,,55.33%,"Business Overview: [1] BASML is a part of Bannari Amman group. It is a vertically integrated textile company which manufactures cotton yarn, woven and knitted fabrics, finished garments, home textiles and wind power generation"
Indo Count Industries Limited (BSE:521016),BSE:521016,Apparel,Consumer Discretionary,"<td class="""">2,842</td>","<td class="""">3,012</td>","<td class="""">3,557</td>","<td class="""">2,403</td>","<td class="""">2,556</td>","<td class="""">2,995</td>",135,30,41,47,62,70,41,65,83,26%,23%,25%,11%,14%,13%,39,40,40,"1,551","1,753","2,049","1,319",876,956,352,379,524,631,"1,110","1,355",24,183,35,2,143,133,"2,606","1,611","2,046",-37,755,146,-258,-474,-98,646,-574,-47,"5,833",294,18.8,58.74%,"Business Profile [1] Indo Count is the largest global home textile bed linen company specializing in bed sheets, fashion bedding, utility bedding, and institutional bedding."
K G Denim Limited (BSE:500239),BSE:500239,Apparel,Consumer Discretionary,"<td class="""">610</td>","<td class="""">530</td>","<td class="""">263</td>","<td class="""">583</td>","<td class="""">533</td>","<td class="""">264</td>",6,5,6,25,23,26,16,16,15,12%,-25%,-28%,0%,0%,0%,26,26,26,48,21,-3,225,200,218,182,158,164,165,152,138,0,0,0,3,3,3,312,249,264,21,50,8,-3,-3,-1,-22,-48,-7,60.2,23.5,,58.73%,"Business Overview: [1] [2] [3] KGDL is the flagship company of the KG Group is an integrated textile apparel and branded apparel player in India. It manufactures Denim Fabric, Apparel Fabric, Readymade Garments, and Home Textile products. Presence across the entire value chain Co. has a direct presence in weaving, dyeing, and garmenting segments and does branded retailing and apparel business through its wholly owned subsidiary, Trigger Apparel Ltd. own retail outlets under its Trigger brand and distributors spread across the country."
Mafatlal Industries Limited (BSE:500264),BSE:500264,Apparel,Consumer Discretionary,"<td class="""">1,003</td>","<td class="""">1,372</td>","<td class="""">2,079</td>","<td class="""">991</td>","<td class="""">1,343</td>","<td class="""">2,033</td>",54,45,64,19,18,15,16,15,15,9%,7%,-25%,0%,0%,0%,14,14,14,672,600,800,113,94,82,424,466,910,98,95,86,0,0,0,633,523,631,493,557,"1,089",10,-7,159,61,36,-2,-52,-34,-23,"1,100",153,10.4,69.56%,History The co. is a 120-year-old textile manufacturing player in India and part of Arvind Mafatlal Group founded by Mr. Mafatlal Gagalbhai. [1]
Pioneer Embroideries Limited (BSE:514300),BSE:514300,Apparel,Consumer Discretionary,"<td class="""">292</td>","<td class="""">297</td>","<td class="""">336</td>","<td class="""">267</td>","<td class="""">285</td>","<td class="""">314</td>",2,12,4,3,4,9,8,8,13,28%,31%,17%,7%,0%,0%,27,27,29,94,102,116,32,97,110,47,68,76,78,75,186,8,72,0,1,12,12,112,135,135,13,10,12,-10,-65,-34,-8,60,16,138,44.9,40.6,32.71%,"Business Overview: [1] [2] PEL manufactures and exports specialized polyester filament yarn, embroidered laces, braided laces, torchon /bobbin laces, raschel laces and embroidered fabrics. It is associated with a retail brand for embroidered clothing brands Hakoba and Slikolite , and has 3 Lac+ designs. Company’s yarns find applications in the non-apparel segment, such as carpets, bath mats, upholstery fabrics, and curtains"
Renaissance Global Limited (BSE:532923),BSE:532923,Apparel,Consumer Discretionary,"<td class="""">2,190</td>","<td class="""">2,237</td>","<td class="""">2,107</td>","<td class="""">2,014</td>","<td class="""">2,063</td>","<td class="""">1,943</td>",30,4,10,35,51,59,35,32,30,22%,7%,14%,15%,0%,0%,19,19,19,905,"1,007","1,129",706,611,655,372,283,222,218,258,258,9,2,1,74,99,119,"1,700","1,562","1,647",86,229,-41,-115,-66,-23,30,-217,-17,"1,560",162,21,58.83%,"Business Overview: [1] RGL designs, manufactures, and supplies branded jewellery in USA, Canada, UK & key Asian markets. Company operates through B2B and D2C models. It has launched online stores through 7 D2C websites to market & supply licensed brands and owned brands"
RSWM Limited (BSE:500350),BSE:500350,Apparel,Consumer Discretionary,"<td class="""">3,817</td>","<td class="""">3,789</td>","<td class="""">4,058</td>","<td class="""">3,385</td>","<td class="""">3,541</td>","<td class="""">3,963</td>",38,105,127,68,74,97,113,127,153,15%,19%,-26%,24%,19%,0%,24,47,47,"1,012","1,270","1,250","1,103","1,157","1,890",435,416,506,943,"1,115","1,574",143,183,32,126,124,246,"1,361","1,468","1,842",210,89,-76,-318,-239,-362,111,147,439,735,156,,55.69%,"Business Overview: [1] RSWM is a flagship company of LNJ Bhilwara Group and has a Golden Trading House status. Company is a textile manufacturer and exporter of Synthetic, Blended, Mélange, Cotton, and Specialty value-added yarns, and it  also manufactures Denim fabric, Synthetic fabric, Knitted fabric, and Green Polyester Fibres"
Soma Textiles & Industries Limited (BSE:521034),BSE:521034,Apparel,Consumer Discretionary,"<td class="""">15</td>","<td class="""">5</td>","<td class="""">6</td>","<td class="""">19</td>","<td class="""">10</td>","<td class="""">9</td>",9,181,28,19,8,1,1,1,0,7%,1%,13%,0%,0%,0%,33,33,33,-127,34,55,116,17,2,130,2,21,11,3,3,0,0,0,2,2,25,139,82,84,33,170,26,10,20,4,-3,-233,-18,131,39.7,36,74.98%,Product Profile: [1] a) Garments b) Piece Dyed Fabrics c) Pearl Collection Fabric d) Stretch Fabric e) Non Stretch Fabric f) Vintage Denim g) Denim Fabrics
Uniroyal Industries Limited (BSE:521226),BSE:521226,Apparel,Consumer Discretionary,"<td class="""">98</td>","<td class="""">112</td>","<td class="""">98</td>","<td class="""">92</td>","<td class="""">109</td>","<td class="""">95</td>",0,0,2,2,2,2,2,2,2,16%,-7%,-36%,0%,0%,0%,8,8,8,11,10,11,20,23,22,10,10,10,22,20,18,0,0,0,0,0,0,27,31,33,3,-2,2,1,0,1,-4,2,-2,18.2,22,8.24,55.34%,"Business Overview: [1] Company focuses on indigenous as well as foreign textile markets. Company manufactures computerized Woven Labels and Narrow Fabrics in “Taffeta' & “Satin' weaves, printed labels and plastic seals. Company meets the demands of garment manufacturers and exporters, furnishing industry, shoe industry and toy industry."
V.I.P. Industries Limited (BSE:507880),BSE:507880,Apparel,Consumer Discretionary,"<td class="""">1,290</td>","<td class="""">2,082</td>","<td class="""">2,245</td>","<td class="""">1,143</td>","<td class="""">1,765</td>","<td class="""">2,047</td>",36,-16,37,26,31,59,70,74,99,22%,22%,29%,53%,42%,52%,28,28,28,531,613,650,298,352,871,371,421,517,265,309,532,7,15,14,42,23,3,915,"1,067","1,518",-24,175,-132,146,-84,-76,-126,-75,218,"5,219",367,,51.74%,"Market Leadership The company is Asia’s leading and the world’s 2nd-largest manufacturer and retailer of luggage, backpacks, and handbags. It is an established leader in the organized and oligopolistic Indian luggage market with a ~38% market share. [1]"
Alicon Castalloy Limited (BSE:531147),BSE:531147,Auto Parts,Consumer Discretionary,"<td class="""">1,078</td>","<td class="""">1,401</td>","<td class="""">1,559</td>","<td class="""">965</td>","<td class="""">1,247</td>","<td class="""">1,364</td>",3,3,4,30,31,41,53,64,78,26%,17%,24%,15%,20%,20%,8,8,8,441,480,547,265,301,331,295,299,344,388,408,475,26,25,22,0,3,3,594,652,731,77,87,157,-72,-82,-107,-9,-4,-51,"1,467",902,20,54.18%,Market Presence The company operates one of the largest aluminum foundries in India and is a pioneer in processing Low-Pressure Die Casting (LPDC) and Gravity Die Casting (GDC) and is the leading developer of Pro-Cast and Magma space in India. [1]
Autoline Industries Limited (NSEI:AUTOIND),NSEI:AUTOIND,Auto Parts,Consumer Discretionary,"<td class="""">568</td>","<td class="""">650</td>","<td class="""">654</td>","<td class="""">522</td>","<td class="""">611</td>","<td class="""">603</td>",7,12,2,26,22,23,20,18,14,0%,0%,2%,0%,0%,0%,38,39,39,23,36,97,237,173,194,190,191,245,150,141,187,4,11,15,0,0,0,333,287,373,-53,76,19,5,2,-55,47,-79,35,347,89.1,17,30.14%,"Business Overview: [1] AIL is a medium-sized auto engineering firm which crafts sheet metal components, subassemblies, and assorted parts for top- tier automotive OEMs, including a) Foot Control Modules b) Parking brakes c) Hinges, cab stay and tilt d) Exhaust systems e) Tubular structures f) Prototyping g) Fabrications"
CIE Automotive India Limited (BSE:532756),BSE:532756,Auto Parts,Consumer Discretionary,"<td class="""">6,765</td>","<td class="""">8,753</td>","<td class="""">9,280</td>","<td class="""">5,823</td>","<td class="""">7,581</td>","<td class="""">7,856</td>",32,-749,409,35,23,107,273,296,322,41%,231%,20%,24%,-70%,17%,379,379,379,"4,818","4,719","5,609","1,487",985,855,"3,137","3,837","2,909","6,587","5,547","5,810",125,119,54,438,576,821,"2,671","3,678","3,068","1,051","1,118","1,383",-762,-637,-905,-363,-488,-427,"17,132",452,20.9,65.70%,"Overview Company is part of the CIE Automotive Group of Spain and is the Group’s vehicle for its forgings business globally. It is a multi-locational and multi-technology automotive components company with manufacturing facilities and engineering capabilities of its own and its subsidiaries in India and in Germany, Spain, Lithuania, and Italy and Mexico. [1]"
Endurance Technologies Limited (NSEI:ENDURANCE),NSEI:ENDURANCE,Auto Parts,Consumer Discretionary,"<td class="""">7,549</td>","<td class="""">8,804</td>","<td class="""">10,241</td>","<td class="""">6,585</td>","<td class="""">7,768</td>","<td class="""">8,913</td>",10,35,86,6,21,43,382,422,474,21%,24%,24%,19%,21%,18%,141,141,141,"3,779","4,271","4,837",430,515,765,"1,507","1,875","2,128","2,715","3,143","3,630",119,171,159,487,672,793,"2,536","2,816","3,289",742,862,"1,057",-550,-905,-945,-302,-72,105,"27,612","1,963",35.9,75.00%,Company history The company was started by Anurag Jain with the help of his uncle Rahul Bajaj (The chairman of Bajaj group of companies) in 1985. Initially the company did only Aluminum die casting work for Bajaj Auto and Bajaj auto was their sole client till 2004 and the company ventured into various segments only after 2004. [1]
Fiem Industries Limited (NSEI:FIEMIND),NSEI:FIEMIND,Auto Parts,Consumer Discretionary,"<td class="""">1,572</td>","<td class="""">1,848</td>","<td class="""">2,029</td>","<td class="""">1,378</td>","<td class="""">1,599</td>","<td class="""">1,760</td>",3,11,16,9,7,3,59,63,59,26%,26%,26%,28%,28%,32%,13,13,26,629,748,861,46,24,23,361,268,308,508,494,496,1,5,5,77,0,0,463,554,717,92,131,135,-74,39,-69,-61,-55,-43,"3,429","1,303",18.4,58.96%,"Market Leader Co. enjoys a significant market share for supply of automotive lighting & signaling equipment and rearview mirrors to Two-wheeler and Four-wheeler OEMs [1] In FY19, they had 27-30% market share of the total 2 Wheeler headlamp market in India. [2] , which increased to 30%+ in FY22 [3]"
JBM Auto Limited (BSE:532605),BSE:532605,Auto Parts,Consumer Discretionary,"<td class="""">3,193</td>","<td class="""">3,857</td>","<td class="""">5,009</td>","<td class="""">2,860</td>","<td class="""">3,459</td>","<td class="""">4,425</td>",21,27,30,76,126,197,91,130,171,16%,26%,21%,8%,12%,10%,24,24,24,873,"1,006","1,144","1,388","1,703","2,127",944,807,"1,570","1,213","1,540","1,729",180,268,131,49,74,79,"1,788","1,657","2,926",-142,484,205,-295,-646,-443,454,159,248,"16,170","1,368",86.3,67.53%,"Market Position The company is a market leader in e-buses, with a 30%-35% market share. [1] It has set up the world’s largest dedicated integrated EV ecosystem and electric bus manufacturing facility (excluding China) with integrated electronics manufacturing facilities. [2]"
Shriram Pistons & Rings Limited (NSEI:SHRIPISTON),NSEI:SHRIPISTON,Auto Parts,Consumer Discretionary,"<td class="""">2,065</td>","<td class="""">2,609</td>","<td class="""">3,089</td>","<td class="""">1,760</td>","<td class="""">2,149</td>","<td class="""">2,447</td>",29,47,85,11,19,30,102,95,108,26%,25%,26%,13%,11%,10%,22,22,44,"1,233","1,505","1,882",157,333,487,438,551,723,689,772,934,6,5,31,32,72,115,"1,124","1,563","2,056",219,395,487,-56,-476,-422,-91,93,-42,"8,723","1,980",18.8,43.75%,"Overview [1] SPRL is a leading manufacturer of Pistons, Piston Pins, Piston Rings, and Engine Valves in India, and belongs to the Shriram Group. Its products are marketed to renowned OEMs and in aftermarket under the brands SPR and USHA , catering to domestic and international markets."
Sundram Fasteners Limited (NSEI:SUNDRMFAST),NSEI:SUNDRMFAST,Auto Parts,Consumer Discretionary,"<td class="""">4,902</td>","<td class="""">5,663</td>","<td class="""">5,666</td>","<td class="""">4,101</td>","<td class="""">4,809</td>","<td class="""">4,777</td>",39,45,52,29,40,32,191,198,213,26%,24%,24%,30%,37%,28%,21,21,21,"2,600","2,995","3,400",772,730,647,891,878,921,"1,948","2,029","2,099",117,65,164,77,102,137,"2,142","2,428","2,587",401,469,589,-203,-234,-389,-186,-214,-235,"20,528",977,37.4,46.94%,"Product Portfolio High Tensile Fasteners: Wind Energy Fasteners, Automotive Fasteners, Engine Fasteners, Aerospace and Aviation Fasteners, etc. Cold extruded parts: Gear blanks, Transmission shafts, Cams, etc Hot Forged Parts: Bevel Gear & Pinion Family, Hub, Gen 3 Bearing hub rings, etc. Powertrain components: Turbine and output Shafts, Clutch hub, Sun Gear Shafts, etc. Pump & Assemblies: Water pumps, Oil pumps, Mechanical Fuel feed pumps. Radiator Caps: Metal Caps, Nylon Caps. Powder metallurgy: Rotors and gears, synchronizer hubs, bushes, structural parts, etc. Iron Powder: Powders for Press & Sinter Applications, Plain Iron Powders, Diffusion Bonded Powders, etc. [1]"
CL Educate Limited (NSEI:CLEDUCATE),NSEI:CLEDUCATE,Education,Consumer Discretionary,"<td class="""">209</td>","<td class="""">291</td>","<td class="""">319</td>","<td class="""">189</td>","<td class="""">266</td>","<td class="""">296</td>",9,6,15,4,2,2,8,11,14,20%,-20%,28%,0%,0%,0%,14,28,27,247,247,254,22,17,32,64,82,75,57,67,94,4,5,2,54,8,1,233,293,291,33,23,26,-1,9,-4,-35,-22,-6,607,112,57.2,53.14%,"Business Overview: [1] [2] CLEL is an asset light technology driven company which focuses on diverse segments of education, and caters to learners from multiple age-groups. It is a recognized name in the education sector across a broad spectrum of segments, including test preparation and vocational training. Currently, it has 170+ Centers and 140+ Institutional Clients"
VJTF Eduservices Limited (BSE:509026),BSE:509026,Education,Consumer Discretionary,"<td class="""">7</td>","<td class="""">0</td>","<td class="""">1</td>","<td class="""">6</td>","<td class="""">0</td>","<td class="""">8</td>",6,0,101,4,0,3,3,0,0,-115%,0%,24%,0%,0%,0%,18,18,18,15,15,84,34,69,57,25,66,46,35,35,8,0,0,0,0,0,64,56,133,132,15,36,-66,-9,-67,68,-5,30,-2,136,77.4,13.9,72.59%,"Business Overview: [1] Company provides educational services to K-12 schools which include designing curriculum, providing teaching aids, supplying methods for imparting education, organizing extra-curricular activities for students and teacher training, etc."
Prima Plastics Limited (BSE:530589),BSE:530589,Furn/Home Furnishings,Consumer Discretionary,"<td class="""">148</td>","<td class="""">192</td>","<td class="""">184</td>","<td class="""">137</td>","<td class="""">166</td>","<td class="""">154</td>",8,6,8,2,5,4,5,7,7,14%,15%,18%,0%,10%,18%,11,11,11,108,125,143,54,46,36,16,27,24,30,55,52,16,0,1,45,48,52,98,104,109,-3,37,27,-17,-15,-4,21,-22,-15,162,147,8.03,58.27%,"Business Overview: [1] PPL is a manufacturer & exporter of Plastic Products. It is certified with ISO 9001, ISO 14001, and OHSAS 18001 and is titled One Star Export House by the Ministry of Commerce and Industry DGFT Govt. Of India. Company is one of the largest suppliers of Waste Management Products under the Swachh Bharat Abhiyan to various municipal bodies in India."
Asian Hotels (East) Limited (BSE:533227),BSE:533227,Hotel/Gaming,Consumer Discretionary,"<td class="""">51</td>","<td class="""">94</td>","<td class="""">108</td>","<td class="""">53</td>","<td class="""">73</td>","<td class="""">78</td>",-30,12,36,0,0,21,3,4,4,-4%,18%,25%,0%,18%,14%,12,17,17,675,186,213,141,0,334,88,38,41,710,179,178,5,3,3,91,0,0,110,60,424,3,9,-385,-10,1,58,7,-10,327,239,138,10.1,65.63%,"Hotels : [1] [2] The company owns and operates Hyatt Regency Kolkata; a 5-star hotel with 233 rooms and 4 restaurants with a space of ~36,000 sq. ft., through its wholly-owned subsidiary"
Graviss Hospitality Limited (BSE:509546),BSE:509546,Hotel/Gaming,Consumer Discretionary,"<td class="""">48</td>","<td class="""">65</td>","<td class="""">54</td>","<td class="""">52</td>","<td class="""">55</td>","<td class="""">47</td>",2,2,1,1,0,0,5,4,4,-1%,25%,20%,0%,0%,0%,14,14,14,160,166,169,18,4,3,27,26,29,187,184,182,9,7,14,2,10,10,21,9,8,22,22,9,-28,-9,-8,2,-14,-1,326,46.2,24.6,74.91%,"Services Offered: [1] [2] [3] Company is in the business of Hospitality and Real Estate . It is having one 5 Star hotel in the name of Inter-Continental at Marine Drive, in Mumbai. As of FY22, it has 59 guest rooms and 2 meeting rooms."
Kamat Hotels (India) Limited (NSEI:KAMATHOTEL),NSEI:KAMATHOTEL,Hotel/Gaming,Consumer Discretionary,"<td class="""">144</td>","<td class="""">295</td>","<td class="""">304</td>","<td class="""">108</td>","<td class="""">186</td>","<td class="""">214</td>",1,245,41,50,22,61,17,15,18,-25%,1%,17%,0%,0%,0%,24,25,26,-205,129,179,460,346,265,188,109,147,348,363,394,1,2,4,0,3,4,117,241,217,31,116,72,-5,-41,146,-17,-89,-219,610,207,29.2,57.78%,"About [1] Kamat Hotels (India) Limited, the flagship company of Kamat Group was incorporated with the main objective of setting up and running hotels across India. Its globally recognized brand ‘The Orchid’ an Ecotel Hotel was Asia’s first chain of a 5-star, environment-sensitive hotel, positioned in the mid to up-market category."
Alchemist Corporation Limited (BSE:531409),BSE:531409,Retail (Distributors),Consumer Discretionary,"<td class="""">0.05</td>","<td class="""">0.00</td>","<td class="""">0.00</td>","<td class="""">0.24</td>","<td class="""">0.18</td>","<td class="""">0.24</td>",-1.42,0,0.43,0,0,0.07,0.01,0,0,0.00%,0.00%,41.67%,0.00%,0.00%,0.00%,4.91,4.91,4.91,10.72,10.54,10.95,0.21,0.55,0.6,1.63,1.61,1.34,14.76,14.76,14.76,0,0,0,1.27,1.27,1.61,1.44,1.58,1.43,-1.82,0.19,-0.02,1.9,0,0,-0.1,-0.16,-0.02,10,20.4,167,74.11%,"Business Overview: [1] The company's business covers activities like: a) Commodity : The company works as an importer, exporter, stockist, distributor, agent, trader, and dealer in all kinds of products and articles of merchandise including bullions, gold smiths, silver smiths, jewelry, gem and diamond merchants, agricultural, horticultural, botanical, including commercial and cash crops & commodities and dealing in clocks, watches, jewelry and cutlery, and their components and accessories. The company also sets up import and export houses for all these products to carry on the business in India or elsewhere in the world by itself or through agents. b) Real Estate: The company is also engaged in the business of Real estate, properties which includes Residential, Commercial, Industrial, and Agricultural and mining as a builder, colonizer, owner, developer, promoter, contractor, etc. The company is also engaged as an estate agent, estate manager to look after and manage immovable properties of or for any persons, firms and companies, governments and States, etc. The company acquires and undertakes these properties by purchase, sell, lease, let, sublet, and possession."
Cravatex Limited (BSE:509472),BSE:509472,Retail (Distributors),Consumer Discretionary,"<td class="""">594</td>","<td class="""">504</td>","<td class="""">203</td>","<td class="""">592</td>","<td class="""">533</td>","<td class="""">210</td>",10,118,16,14,14,0,16,16,2,7%,-1%,22%,-4%,1%,16%,3,3,3,-52,90,96,167,0,0,247,44,26,62,8,9,0,0,0,5,5,8,298,124,108,-8,144,19,14,42,-1,-4,-168,0,103,399,23.3,75.00%,"Business Overview: [1] Company is a holding company of The Batra Group. It used to own a chain of dry cleaners in India and subsequently diversified into Garment Export, Textile Processing and Printing. At present, company is a Retail, Brand Licensing, Distribution & Sourcing company"
Muller & Phipps (India) Limited (BSE:501477),BSE:501477,Retail (Distributors),Consumer Discretionary,"<td class="""">3.67</td>","<td class="""">3.91</td>","<td class="""">4.14</td>","<td class="""">3.50</td>","<td class="""">3.87</td>","<td class="""">4.18</td>",0.38,0.26,0.83,0.1,0.08,0.06,0.01,0.01,0.01,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.63,0.63,0.63,-2.86,-2.65,-1.92,1.31,1.04,0.77,5.76,5.95,5.78,0.06,0.05,0.06,0,0,0,0,0,0,4.78,4.92,5.2,0.11,0.21,0.72,0,0,-0.02,-0.38,-0.34,-0.32,21.7,347,,51.63%,Product Profile: [1] a) Cavisan - Medicated Dental Cream [2] b) Cavifast - Medicated Dental Cream [3] c) Cavisan - Gum Astringent [4] d) Nixoderm [5]
Jagatjit Industries Limited (BSE:507155),BSE:507155,Beverage (Alcoholic),Consumer Staples,"<td class="""">443</td>","<td class="""">507</td>","<td class="""">557</td>","<td class="""">456</td>","<td class="""">502</td>","<td class="""">539</td>",52,42,26,29,31,26,10,10,10,6%,0%,0%,0%,0%,0%,46,46,47,6,19,29,217,223,271,229,215,268,387,380,378,0,1,8,6,6,4,106,116,226,14,12,30,10,20,-66,-28,-24,26,899,192,,87.34%,"Business Overview: [1] JIL operates in the premium drinks segment and has the largest integrated distilleries manufacturing potable alcohol in Asia. It was the first in India to have in-house capabilities for producing molasses and non-molasses-based potable alcohol from fully automated distillation plants. The company manufactures and markets alcoholic beverages, malt, malt extract, nutritious planned food, milk powder, ghee, dairy products, and malted milk foods."
United Breweries Limited (BSE:532478),BSE:532478,Beverage (Alcoholic),Consumer Staples,"<td class="""">5,838</td>","<td class="""">7,500</td>","<td class="""">8,123</td>","<td class="""">5,142</td>","<td class="""">6,884</td>","<td class="""">7,426</td>",30,16,74,15,5,7,217,211,212,26%,27%,25%,76%,65%,64%,26,26,26,"3,909","3,938","4,152",10,16,102,"2,004","2,300","2,773","1,913","1,851","1,776",110,77,173,8,8,8,"3,918","4,344","5,097",900,-120,70,-160,-121,-148,-287,-292,-122,"54,206","2,050",115,70.84%,"Brand Portfolio The Co markets its products under the flagship brands Kingfisher and Heineken. Some of the most popular brands in its portfolio include Kingfisher Premium, Kingfisher Ultra, Kingfisher Strong, Kingfisher Ultra Max, UB Export Lager, London Pilsner etc. [1]"
Vaarad Ventures Limited (BSE:532320),BSE:532320,Beverage (Soft),Consumer Staples,"<td class="""">-0.00</td>","<td class="""">-0.00</td>","<td class="""">-0.00</td>","<td class="""">0.15</td>","<td class="""">0.13</td>","<td class="""">0.17</td>",-0.04,0,0,0,0,0,0.11,0.1,0.1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,24.99,24.99,24.99,-1.98,-2.21,-2.48,3.34,3.42,3.53,2.28,2.35,2.43,14.03,13.93,13.84,4.59,4.59,4.59,1.48,1.48,1.48,8.53,8.55,8.56,-0.06,-0.06,-0.03,0.03,0,-0.01,0.07,0.06,0.04,336,13.4,,71.19%,"Business Overview: [1] [2] VVL is a Non Systematically Important Non Deposit Taking Non -Banking Financial Company which is engaged in investment activities and other business activities related to Technology, Mineral Water, Weighing Scales, Supply Chain Management and Database Management. It conducts business through 3 subsidiaries viz. Varuna Drinking Water Solutions Limited, Atco Limited and Edesk Services Limited, three stepdown subsidiaries namely Geo Thermal Water Limited, Innovamedia Publications Limited and Atcomaart Services Limited, and one associate company namely Kimaya Shoppe Limited"
